Song,Artist,Genre,Embed-link
There For You,Martin Garrix,EDM,pNNMr5glICM
Ocean,Martin Garrix,EDM,BDocp-VpCwY
Gold Skies,Martin Garrix,EDM,UwsY_foobEw
These Are The Times,Martin Garrix,EDM,ED3jOCQUNJM
Pizza,Martin Garrix,EDM,JsKIAO11q1Y
Summer Days,Martin Garrix,EDM,8OwVaewDtS8
Bouncybob,Martin Garrix,EDM,uiyUOrr5Ieo
Access,Martin Garrix,EDM,aGJ3Jhb7i88
Proxy,Martin Garrix,EDM,NWB6-PJw4Mk
Yottabyte,Martin Garrix,EDM,WTrFa9H_lpk
Dreamer,Martin Garrix,EDM,b9HpOAYjY9I
Breach,Martin Garrix,EDM,9-ySW9qGUHw
Sun Is Never Going Down,Martin Garrix,EDM,0rD9rbxmCPQ
Hold On & Believe,Martin Garrix,EDM,LXFZd_okfUk
Poison,Martin Garrix,EDM,PC0_24jNvKw
Summer,Calvin Harris,EDM,ebXbLfLACGM
Feel So Close,Calvin Harris,EDM,dGghkjpNCQ8
We Found Love,Calvin Harris,EDM,tg00YEETFzg
Sweet Nothing,Calvin Harris,EDM,17ozSeGw-fY
Blame,Calvin Harris,EDM,6ACl8s_tBzE
I Need Your Love,Calvin Harris,EDM,AtKZKl7Bgu0
Slide,Calvin Harris,EDM,8Ee4QjCEHHc
This Is What You Came For,Calvin Harris,EDM,kOkQ4T5WO9E
Outside,Calvin Harris,EDM,J9NQFACZYEU
How Deep Is Your Love,Calvin Harris,EDM,EgqUJOudrcM
Under Control,Calvin Harris,EDM,yZqmarGShxg
My Way,Calvin Harris,EDM,b4Bj7Zb-YD4
Feels,Calvin Harris,EDM,ozv4q2ov3Mk
Well Be Coming Back,Calvin Harris,EDM,kPC_evpbwDM
Im Not Alone,Calvin Harris,EDM,JeTE5cnkhGc
Acceptable In The 80s,Calvin Harris,EDM,dOV5WXISM24
Thinking About You,Calvin Harris,EDM,cl3b7dDBLpo
LetsGo,Calvin Harris,EDM,LYZ6gXWZfZM
You Used To Hold Me,Calvin Harris,EDM,mf58RAPR8Ws
Slow Acid,Calvin Harris,EDM,no1YHRhFr5A
Stay The Night,Zedd,EDM,i-gyZ35074k
Beautiful Now,Zedd,EDM,n1a7o44WxNo
Stay,Zedd,EDM,h--P8HzYZ74
Clarity,Zedd,EDM,IxxstCcJlsc
I Want You To Know,Zedd,EDM,puKD3nkB1h4
Spectrum,Zedd,EDM,IsuVMdnF8A0
Happy Now,Zedd,EDM,KfXvjxbRhZk
The Middle,Zedd,EDM,M3mJkSqZbX4
Find You,Zedd,EDM,IgGjUjQRAxw
Starving,Zedd,EDM,xwjwCFZpdns
Shave It,Zedd,EDM,k6acWbk3c7g
Papercut,Zedd,EDM,HwtljkGZJnI
Break Free,Zedd,EDM,L8eRzOYhLuw
Addicted To Memory,Zedd,EDM,ZqJiXLJs_Pg
Good Thing,Zedd,EDM,CMla2ZIz7-4
Slam The Door,Zedd,EDM,_HOLr0jqnCI
Lost In Japan,Zedd,EDM,u9_mcVlcVII
Lost At Sea,Zedd,EDM,LDcaJgv0ST4
Fall Into The Sky,Zedd,EDM,gmF07cPqGKQ
Bumble Bee,Zedd,EDM,scvI5tV9Jk0
Another One Bites the Dust,Queen,Rock,rY0WxgSXdEE
Bicycle Race,Queen,Rock,xt0V0_1MS0Q
Bicycle Race/fat Bottomed Girls,Queen,Rock,w8QNZQE4F64
Bohemian Rhapsody,Queen,Rock,fJ9rUzIMcZQ
Crazy Little Thing Called Love,Queen,Rock,zO6D_BAuYCI
Don't Stop Me Now,Queen,Rock,HgzGwKwLmgM
Fat Bottomed Girls,Queen,Rock,VMnjF1O4eH0
It's Late,Queen,Rock,0PItMuGp39Q
Keep Yourself Alive,Queen,Rock,JofwEB9g1zg
Killer Queen,Queen,Rock,2ZBtPf7FOoM
One Vision,Queen,Rock,-OGd4gplxQM
Somebody To Love,Queen,Rock,kijpcUv-b8M
THESE ARE THE DAYS OF OUR LI,Queen,Rock,oB4K0scMysc
Tie Your Mother Down,Queen,Rock,LvB2MnIIdMw
Under Pressure,Queen,Rock,a01QQZyl-_I
We Are the Champions,Queen,Rock,04854XqcfCY
We Will Rock You,Queen,Rock,-tJYN-eG1zk
We Will Rock You/We Are The Champions,Queen,Rock,tAz84ZV7xF0
You're My Best Friend,Queen,Rock,HaZpZQG2z10
Eight Days A Week,Beatles,Rock,kle2xHhRHg4
Eleanor Rigby,Beatles,Rock,HuS5NuXRb5Y
Everybody's Got Something To Hide Except Me And My Monk,Beatles,Rock,4fv_gCn1CUU
Fixing A Hole,Beatles,Rock,UPBd8eHQqIw
From Me To You,Beatles,Rock,-XTB3bCYMK0
Get Back,Beatles,Rock,IKJqecxswCA
Getting Better,Beatles,Rock,EGlo9LzmOME
GIRL,Beatles,Rock,-8l3ntDR_lI
Golden Slumbers,Beatles,Rock,AcQjM7gV6mI
Good Day Sunshine,Beatles,Rock,ws6CF4S82nY
Got To Get You Into My Life,Beatles,Rock,r95-7zfgtLw
Hello Goodbye,Beatles,Rock,rblYSKz_VnI
Help!,Beatles,Rock,2Q_ZzBGPdqE
Helter Skelter,Beatles,Rock,vWW2SzoAXMo
Here Comes The Sun,Beatles,Rock,KQetemT1sWc
Hey Jude,Beatles,Rock,A_MjCqQoLLA
I Am the Walrus,Beatles,Rock,t1Jm5epJr10
I Feel Fine,Beatles,Rock,WrAV5EVI4tU
I Saw Her Standing There,Beatles,Rock,oxwAB3SECtc
I Want To Hold Your Hand,Beatles,Rock,jenWdylTtzs
Breadfan,Metallica,Rock,0
Enter Sandman,Metallica,Rock,CD-E-LDc384
Fade To Black,Metallica,Rock,WEQnzs8wl6E
For Whom The Bell Tolls,Metallica,Rock,KO3l6qNA2Q4
Fuel,Metallica,Rock,azCq5qQodU8
Harvester Of Sorrow,Metallica,Rock,_3yWbRngyJs
Hero of the Day,Metallica,Rock,XkfO8c8MlKU
Lords of Summer (First Pass Version),Metallica,Rock,s7SIYzXM6zA
Master of Puppets,Metallica,Rock,xnKhsTXoKCI
No Leaf Clover,Metallica,Rock,Sh5S3OxiE-s
Nothing Else Matters,Metallica,Rock,tAGnKpE4NCI
One,Metallica,Rock,WM8bTdBs-cw
Sad But True,Metallica,Rock,O_4OfD-wmGs
Seek & Destroy,Metallica,Rock,NUAdgt5Glk0
The Memory Remains,Metallica,Rock,RDN4awrpPQQ
The Unforgiven,Metallica,Rock,Ckom3gf57Yw
Turn The Page,Metallica,Rock,qPOTEs_yTJo
Until It Sleeps,Metallica,Rock,eRV9uPr4Dz4
Wherever I May Roam,Metallica,Rock,S5TnPjOd_To
Whiskey In The Jar,Metallica,Rock,wsrvmNtWU4E
(I Can't Get No) Satisfaction,Rolling Stones,Rock,nrIPxlFzDi0
19th Nervous Breakdown,Rolling Stones,Rock,DEseb6-hssc
Ain't Too Proud to Beg,Rolling Stones,Rock,Kktm9rwz-dE
Almost Hear You Sigh,Rolling Stones,Rock,51I1Fl7qhHw
Angie,Rolling Stones,Rock,RcZn2-bGXqQ
Beast Of Burden,Rolling Stones,Rock,-tRdBsnX4N4
Bitch,Rolling Stones,Rock,a4g8PxsG_j4
Brown Sugar,Rolling Stones,Rock,59K2kF6o9Tk
Can't You Hear Me Knocking,Rolling Stones,Rock,3vtILjo26ew
CAROL,Rolling Stones,Rock,jwgZ8Xj1Og4
Da Da Doo Ron Ron,Rolling Stones,Rock,C8GxUzZypLY
Dance Little Sister,Rolling Stones,Rock,wyVs9HSXiJM
Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,Rock,sqUiWpGGCmI
Doom And Gloom,Rolling Stones,Rock,1DWiB7ZuLvI
Emotional Rescue,Rolling Stones,Rock,5kBxb-NmxNc
Fortune Teller,Rolling Stones,Rock,7iAVvpPDrHs
Get Off My Cloud,Rolling Stones,Rock,0
Get Off Of My Cloud,Rolling Stones,Rock,QYgJZ79FmBo
Gimme Shelter,Rolling Stones,Rock,RbmS3tQJ7Os
Hand of Fate,Rolling Stones,Rock,3RGhtDjup38
All My Love,Led Zeppelin,Rock,z0DAnu5Sq6k
Babe I'm Gonna Leave You,Led Zeppelin,Rock,eOUaQz8GYPA
Black Dog,Led Zeppelin,Rock,fl6s1x9j4QQ
Black Mountain Side,Led Zeppelin,Rock,5Y2yoadwSQ0
Bonzo's Montreaux,Led Zeppelin,Rock,gaSnMZ973V4
Boogie With Stu,Led Zeppelin,Rock,MviBlaTIV-s
Bring It On Home,Led Zeppelin,Rock,pAO0ib8a0dU
Bron-y-aur Stomp,Led Zeppelin,Rock,oC-9aEf0Q-A
